student_id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score,saw_score
6835,17,2.0,6.0,7.65,99.3,0.0,9.7,2.0,3.0,2.0,0.0,96.8,0.9613672628285308
15215,18,0.0,5.0,7.69,96.0,1.0,9.9,1.0,4.0,2.0,1.0,89.8,0.936106298402889
8672,17,1.0,5.0,7.91,82.8,1.0,7.6,2.0,4.0,2.0,1.0,95.1,0.9358882409388776
11846,22,1.0,5.0,7.67,96.6,1.0,8.0,2.0,3.0,2.0,0.0,75.8,0.9195269889205624
17734,17,1.0,6.0,7.46,83.4,1.0,8.2,2.0,4.0,2.0,1.0,83.1,0.9193478710706792
14288,17,1.0,3.0,7.91,82.3,1.0,9.4,2.0,2.0,2.0,0.0,82.3,0.9193135186079916
1950,19,0.0,6.0,7.63,94.7,1.0,6.7,2.0,4.0,1.0,0.0,80.7,0.9180323764122928
8783,17,2.0,4.0,7.62,96.4,1.0,9.8,2.0,1.0,2.0,1.0,83.6,0.9155667817732612
18457,23,0.0,4.0,7.91,80.8,1.0,8.9,2.0,4.0,2.0,0.0,100.0,0.9153817532302863
17758,18,0.0,5.0,7.87,96.3,1.0,9.8,0.0,4.0,2.0,2.0,100.0,0.9136590383499973
17759,19,2.0,2.0,7.91,85.5,1.0,9.9,2.0,3.0,2.0,2.0,93.9,0.9133023856839951
1890,20,2.0,6.0,7.29,97.9,1.0,9.4,2.0,2.0,2.0,0.0,98.0,0.9115242050682052
10615,21,1.0,4.0,7.91,99.4,1.0,8.0,2.0,2.0,2.0,2.0,100.0,0.9106353562915486
12705,17,0.0,6.0,7.82,95.4,1.0,9.4,1.0,3.0,1.0,2.0,100.0,0.9091942152272515
4290,19,0.0,6.0,6.9,89.5,1.0,9.9,2.0,4.0,2.0,0.0,87.7,0.9080862977087164
2224,20,0.0,4.0,7.71,78.6,1.0,9.1,2.0,4.0,2.0,1.0,70.5,0.9078132237831835
17989,17,2.0,6.0,7.14,92.4,0.0,8.8,2.0,4.0,2.0,2.0,69.5,0.9075897125742269
8276,23,2.0,5.0,7.81,92.4,0.0,9.3,2.0,4.0,1.0,1.0,98.8,0.9074294905452924
4776,17,0.0,4.0,7.91,99.4,1.0,8.2,1.0,2.0,2.0,2.0,100.0,0.9063755235659118
1163,23,2.0,5.0,7.91,96.9,0.0,8.6,2.0,4.0,0.0,0.0,85.5,0.905418961111341
17136,20,1.0,6.0,7.56,89.6,1.0,8.9,2.0,4.0,1.0,2.0,69.2,0.9024545861770541
