student_id,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score,saw_score,saw_score_100
1,male,diploma,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,58.9,0.5610499999999999,56.105
2,other,bca,0.5,0.5,1.0,0.2,0.5,0.1,0.5,0.5,54.8,0.43079,43.079
3,male,b.sc,1.0,0.8,1.0,0.7,0.0,1.0,1.0,0.5,90.3,0.83355,83.355
4,other,diploma,0.2,0.2,1.0,0.5,0.5,0.1,0.0,0.5,29.7,0.21704000000000004,21.704000000000004
5,female,diploma,0.2,0.5,1.0,0.7,0.0,1.0,0.0,0.5,43.7,0.29668000000000005,29.668000000000006
6,male,b.tech,0.5,0.5,1.0,0.2,1.0,0.5,0.0,0.5,58.2,0.45483,45.483000000000004
7,female,b.tech,0.2,0.5,1.0,1.0,0.5,0.1,1.0,0.0,53.7,0.32136000000000003,32.136
8,male,b.sc,0.8,0.2,1.0,0.7,0.0,0.0,0.0,0.5,47.3,0.55041,55.041
9,other,bca,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,44.9,0.52815,52.815
10,male,bba,1.0,0.2,1.0,0.7,0.5,0.2,1.0,0.5,77.7,0.72553,72.553
11,female,ba,0.8,0.8,1.0,0.5,0.5,0.0,0.5,1.0,63.2,0.6718700000000001,67.18700000000001
12,male,b.com,0.5,1.0,0.0,0.2,0.0,0.1,0.5,1.0,53.5,0.48794,48.794
13,female,ba,1.0,0.2,1.0,0.7,1.0,0.0,0.5,0.0,63.9,0.71641,71.641
14,female,bba,0.2,0.5,1.0,1.0,0.0,0.1,0.5,0.5,34.1,0.29146000000000005,29.146000000000004
15,male,b.tech,0.8,0.8,1.0,1.0,1.0,0.2,1.0,0.5,83.5,0.7447400000000001,74.474
16,other,bba,0.8,1.0,1.0,1.0,0.5,1.0,1.0,0.5,98.5,0.7908000000000001,79.08000000000001
17,male,b.sc,0.2,1.0,1.0,0.7,0.5,0.0,0.5,0.5,70.3,0.36503,36.503
18,male,bca,0.2,0.5,1.0,1.0,0.0,0.0,0.5,0.5,32.3,0.28695000000000004,28.695000000000004
19,female,b.sc,0.8,1.0,1.0,0.2,0.5,0.5,0.0,0.5,56.2,0.6839300000000001,68.39300000000001
20,male,b.tech,0.8,0.2,1.0,0.2,0.0,1.0,1.0,0.5,49.3,0.5915600000000001,59.156000000000006
21,female,ba,0.8,0.5,1.0,0.2,0.0,1.0,0.5,1.0,68.1,0.6291300000000001,62.91300000000001
22,other,ba,0.2,0.5,1.0,0.7,1.0,0.5,0.0,1.0,52.1,0.32223000000000007,32.223000000000006
23,male,ba,0.2,0.8,1.0,0.7,0.5,0.2,0.5,1.0,47.1,0.34917000000000004,34.917
24,female,diploma,1.0,0.2,1.0,0.5,1.0,0.0,0.0,1.0,84.8,0.70003,70.003
25,male,bba,0.2,0.8,1.0,1.0,0.5,1.0,0.0,0.5,68.9,0.38452000000000003,38.452000000000005
26,male,b.com,1.0,0.2,1.0,0.2,1.0,0.2,0.0,0.5,76.3,0.6825800000000001,68.25800000000001
27,male,bca,0.8,0.2,0.0,0.7,0.5,0.0,0.0,1.0,71.6,0.57211,57.211
28,male,ba,0.8,1.0,1.0,1.0,0.0,0.5,1.0,0.0,74.1,0.7411500000000001,74.11500000000001
29,female,b.sc,0.5,0.8,1.0,1.0,1.0,0.1,0.5,0.5,56.6,0.55258,55.257999999999996
30,other,b.tech,1.0,0.5,1.0,0.2,1.0,0.2,0.5,0.5,49.2,0.7440500000000001,74.40500000000002
31,other,b.tech,1.0,0.8,1.0,0.5,0.0,0.5,1.0,1.0,97.5,0.8035200000000001,80.35200000000002
32,male,b.sc,0.8,0.5,1.0,0.5,1.0,0.0,1.0,1.0,81.8,0.6614000000000001,66.14000000000001
33,other,bca,0.8,0.2,1.0,0.2,1.0,0.0,1.0,0.5,65.6,0.5884600000000001,58.84600000000001
34,female,ba,0.5,0.5,0.0,1.0,0.0,0.1,1.0,0.0,71.1,0.46761,46.761
35,female,ba,0.2,1.0,1.0,0.2,1.0,0.2,1.0,1.0,60.3,0.38220000000000004,38.220000000000006
36,other,b.com,1.0,0.2,1.0,0.5,0.5,0.1,1.0,0.5,81.3,0.7074400000000001,70.744
37,female,b.sc,0.2,0.2,0.0,0.5,0.5,0.1,0.5,0.0,37.3,0.22054000000000004,22.054000000000006
38,male,bca,0.5,0.8,1.0,1.0,0.0,0.2,0.0,0.0,52.0,0.49399000000000004,49.399
39,female,b.tech,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,58.9,0.51285,51.285000000000004
